"source","target","ligand","receptor","prob","pval","interaction_name","interaction_name_2","pathway_name","annotation","evidence"
"Platelets","Cycling","PF4V1","CXCR3",0.0847849203910042,0,"PF4V1_CXCR3","PF4V1 - CXCR3","CXCL","Secreted Signaling","KEGG: hsa04060"
"Platelets","cmCD8+T","PF4V1","CXCR3",0.0839893735337794,0,"PF4V1_CXCR3","PF4V1 - CXCR3","CXCL","Secreted Signaling","KEGG: hsa04060"
"Platelets","pDC","PF4V1","CXCR3",0.115245404627665,0,"PF4V1_CXCR3","PF4V1 - CXCR3","CXCL","Secreted Signaling","KEGG: hsa04060"
"Platelets","Cycling","PF4","CXCR3",0.073273741418899,0,"PF4_CXCR3","PF4 - CXCR3","CXCL","Secreted Signaling","KEGG: hsa04060"
"Platelets","cmCD8+T","PF4","CXCR3",0.0725776399248933,0,"PF4_CXCR3","PF4 - CXCR3","CXCL","Secreted Signaling","KEGG: hsa04060"
"Platelets","pDC","PF4","CXCR3",0.100050731350739,0,"PF4_CXCR3","PF4 - CXCR3","CXCL","Secreted Signaling","KEGG: hsa04060"
"CD16+Mono","MAIT","MIF","CD74_CXCR4",0.235900424303263,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155"
"Cycling","MAIT","MIF","CD74_CXCR4",0.284649381397469,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155"
"HPC","MAIT","MIF","CD74_CXCR4",0.304017903015096,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155"
"MAIT","MAIT","MIF","CD74_CXCR4",0.289011923634058,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155"
"NK","MAIT","MIF","CD74_CXCR4",0.270142180318393,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155"
"Plasma_B","MAIT","MIF","CD74_CXCR4",0.300446496472578,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155"
"Treg","MAIT","MIF","CD74_CXCR4",0.288048966651286,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155"
"cDC2","MAIT","MIF","CD74_CXCR4",0.28969595891071,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155"
"cmCD8+T","MAIT","MIF","CD74_CXCR4",0.264524404104287,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155"
"ctlCD4+T","MAIT","MIF","CD74_CXCR4",0.285203561336245,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155"
"ctlCD8+T","MAIT","MIF","CD74_CXCR4",0.279391327152975,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155"
"emraCD8+T","MAIT","MIF","CD74_CXCR4",0.278878527981275,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155"
"gdT","MAIT","MIF","CD74_CXCR4",0.283293360132602,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155"
"hCD4+T","MAIT","MIF","CD74_CXCR4",0.283384983096539,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155"
"mB_cells","MAIT","MIF","CD74_CXCR4",0.276442774438809,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155"
"nCD4+T","MAIT","MIF","CD74_CXCR4",0.283609063448887,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155"
