"source","target","ligand","receptor","prob","pval","interaction_name","interaction_name_2","pathway_name","annotation","evidence"
"Platelets","Cycling","PF4V1","CXCR3",0.031178676612708,0,"PF4V1_CXCR3","PF4V1 - CXCR3","CXCL","Secreted Signaling","KEGG: hsa04060"
"Platelets","Plasmablasts","PF4V1","CXCR3",0.0764624323727243,0,"PF4V1_CXCR3","PF4V1 - CXCR3","CXCL","Secreted Signaling","KEGG: hsa04060"
"Platelets","pDC","PF4V1","CXCR3",0.0448867398507783,0,"PF4V1_CXCR3","PF4V1 - CXCR3","CXCL","Secreted Signaling","KEGG: hsa04060"
"Platelets","Cycling","PF4","CXCR3",0.0942825389843709,0,"PF4_CXCR3","PF4 - CXCR3","CXCL","Secreted Signaling","KEGG: hsa04060"
"Platelets","Plasmablasts","PF4","CXCR3",0.211234936947941,0,"PF4_CXCR3","PF4 - CXCR3","CXCL","Secreted Signaling","KEGG: hsa04060"
"Platelets","pDC","PF4","CXCR3",0.131956086126765,0,"PF4_CXCR3","PF4 - CXCR3","CXCL","Secreted Signaling","KEGG: hsa04060"
"Cycling","CD16+Mono","MIF","CD74_CXCR4",0.128850601961087,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155"
"HPC","CD16+Mono","MIF","CD74_CXCR4",0.0986731552895384,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155"
"MAIT","CD16+Mono","MIF","CD74_CXCR4",0.138032894028508,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155"
"Plasma_B","CD16+Mono","MIF","CD74_CXCR4",0.137353598733167,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155"
"cDC2","CD16+Mono","MIF","CD74_CXCR4",0.111219999853161,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155"
"cmCD8+T","CD16+Mono","MIF","CD74_CXCR4",0.115532001067615,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155"
"mB_cells","CD16+Mono","MIF","CD74_CXCR4",0.113017833139922,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155"
"nCD8+T","CD16+Mono","MIF","CD74_CXCR4",0.130118004556248,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155"
"Cycling","Cycling","MIF","CD74_CXCR4",0.124625914988468,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155"
"HPC","Cycling","MIF","CD74_CXCR4",0.0953296364274965,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155"
"MAIT","Cycling","MIF","CD74_CXCR4",0.133553298063017,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155"
"Plasma_B","Cycling","MIF","CD74_CXCR4",0.132892649212833,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155"
"cDC2","Cycling","MIF","CD74_CXCR4",0.10750204150745,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155"
"cmCD8+T","Cycling","MIF","CD74_CXCR4",0.111688011350332,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155"
"mB_cells","Cycling","MIF","CD74_CXCR4",0.109247162588682,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155"
"nCD8+T","Cycling","MIF","CD74_CXCR4",0.125857766218656,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155"
"CD16+Mono","MAIT","MIF","CD74_CXCR4",0.104115457304941,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155"
"Cycling","MAIT","MIF","CD74_CXCR4",0.27144837793015,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155"
"HPC","MAIT","MIF","CD74_CXCR4",0.216160745436692,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155"
"MAIT","MAIT","MIF","CD74_CXCR4",0.287439644566884,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155"
"NK","MAIT","MIF","CD74_CXCR4",0.114991212294809,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155"
"Plasma_B","MAIT","MIF","CD74_CXCR4",0.286269271658248,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155"
"Plasmablasts","MAIT","MIF","CD74_CXCR4",0.236338924855307,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155"
"Treg","MAIT","MIF","CD74_CXCR4",0.114686113282564,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155"
"cDC2","MAIT","MIF","CD74_CXCR4",0.239674270675024,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155"
