"source","target","ligand","receptor","prob","pval","interaction_name","interaction_name_2","pathway_name","annotation","evidence"
"CD16+Mono","CD16+Mono","ANXA1","FPR1",0.0273879108258184,0,"ANXA1_FPR1","ANXA1 - FPR1","ANNEXIN","Secreted Signaling","PMID: 23230437"
"Cycling","CD16+Mono","ANXA1","FPR1",0.0274839258969161,0,"ANXA1_FPR1","ANXA1 - FPR1","ANNEXIN","Secreted Signaling","PMID: 23230437"
"cDC2","CD16+Mono","ANXA1","FPR1",0.029530548074579,0,"ANXA1_FPR1","ANXA1 - FPR1","ANNEXIN","Secreted Signaling","PMID: 23230437"
"ctlCD4+T","CD16+Mono","ANXA1","FPR1",0.0406678381874764,0,"ANXA1_FPR1","ANXA1 - FPR1","ANNEXIN","Secreted Signaling","PMID: 23230437"
"pDC","Plasma_B","GAS6","AXL",0.0137623307566509,0,"GAS6_AXL","GAS6 - AXL","GAS","Secreted Signaling","PMID: 27801848"
"Plasma_B","CD16+Mono","THBS1","CD36",0.0226582638190607,0,"THBS1_CD36","THBS1 - CD36","THBS","ECM-Receptor","KEGG: hsa04512"
"Plasma_B","pDC","THBS1","CD36",0.0286984471553964,0,"THBS1_CD36","THBS1 - CD36","THBS","ECM-Receptor","KEGG: hsa04512"
"Plasma_B","CD14+Mono","THBS1","CD47",0.0389041224125572,0.02,"THBS1_CD47","THBS1 - CD47","THBS","ECM-Receptor","KEGG: hsa04512"
"Plasma_B","CD16+Mono","THBS1","CD47",0.0243550771085391,0.01,"THBS1_CD47","THBS1 - CD47","THBS","ECM-Receptor","KEGG: hsa04512"
"Plasma_B","Cycling","THBS1","CD47",0.0259201971301589,0.02,"THBS1_CD47","THBS1 - CD47","THBS","ECM-Receptor","KEGG: hsa04512"
"Plasma_B","MAIT","THBS1","CD47",0.0907693288314058,0,"THBS1_CD47","THBS1 - CD47","THBS","ECM-Receptor","KEGG: hsa04512"
"Plasma_B","Plasma_B","THBS1","CD47",0.084513418407997,0.02,"THBS1_CD47","THBS1 - CD47","THBS","ECM-Receptor","KEGG: hsa04512"
"Plasma_B","cDC2","THBS1","CD47",0.0667258738780265,0,"THBS1_CD47","THBS1 - CD47","THBS","ECM-Receptor","KEGG: hsa04512"
"Plasma_B","cmCD8+T","THBS1","CD47",0.0261315509033424,0.02,"THBS1_CD47","THBS1 - CD47","THBS","ECM-Receptor","KEGG: hsa04512"
"Plasma_B","hCD4+T","THBS1","CD47",0.0288159845133759,0.02,"THBS1_CD47","THBS1 - CD47","THBS","ECM-Receptor","KEGG: hsa04512"
"Plasma_B","mB_cells","THBS1","CD47",0.0296583814139638,0.02,"THBS1_CD47","THBS1 - CD47","THBS","ECM-Receptor","KEGG: hsa04512"
"Plasma_B","nB_cells","THBS1","CD47",0.0297206213786729,0.02,"THBS1_CD47","THBS1 - CD47","THBS","ECM-Receptor","KEGG: hsa04512"
"Plasma_B","nCD4+T","THBS1","CD47",0.0356251323539671,0.02,"THBS1_CD47","THBS1 - CD47","THBS","ECM-Receptor","KEGG: hsa04512"
"Plasma_B","pDC","THBS1","CD47",0.0270795292837038,0.01,"THBS1_CD47","THBS1 - CD47","THBS","ECM-Receptor","KEGG: hsa04512"
"pDC","CD14+Mono","APP","CD74",0.193711546690607,0,"APP_CD74","APP - CD74","APP","Cell-Cell Contact","PMID: 19849849"
"pDC","CD16+Mono","APP","CD74",0.445680990542247,0,"APP_CD74","APP - CD74","APP","Cell-Cell Contact","PMID: 19849849"
"pDC","Cycling","APP","CD74",0.429406044398889,0,"APP_CD74","APP - CD74","APP","Cell-Cell Contact","PMID: 19849849"
"pDC","MAIT","APP","CD74",0.456481917532769,0,"APP_CD74","APP - CD74","APP","Cell-Cell Contact","PMID: 19849849"
"pDC","NK","APP","CD74",0.199246236062304,0,"APP_CD74","APP - CD74","APP","Cell-Cell Contact","PMID: 19849849"
"pDC","Plasma_B","APP","CD74",0.436569648635829,0,"APP_CD74","APP - CD74","APP","Cell-Cell Contact","PMID: 19849849"
"pDC","Treg","APP","CD74",0.340427804734539,0,"APP_CD74","APP - CD74","APP","Cell-Cell Contact","PMID: 19849849"
"pDC","cDC2","APP","CD74",0.448143835768857,0,"APP_CD74","APP - CD74","APP","Cell-Cell Contact","PMID: 19849849"
"pDC","cmCD8+T","APP","CD74",0.372706234714917,0,"APP_CD74","APP - CD74","APP","Cell-Cell Contact","PMID: 19849849"
"pDC","ctlCD4+T","APP","CD74",0.399671403492042,0,"APP_CD74","APP - CD74","APP","Cell-Cell Contact","PMID: 19849849"
"pDC","ctlCD8+T","APP","CD74",0.202701776059345,0,"APP_CD74","APP - CD74","APP","Cell-Cell Contact","PMID: 19849849"
"pDC","emCD8+T","APP","CD74",0.403630887640613,0,"APP_CD74","APP - CD74","APP","Cell-Cell Contact","PMID: 19849849"
