"source","target","ligand","receptor","prob","pval","interaction_name","interaction_name_2","pathway_name","annotation","evidence"
"Plasma_B","Plasmablasts","IGF1","IGF1R",0.00490530191142382,0,"IGF1_IGF1R","IGF1 - IGF1R","IGF","Secreted Signaling","PMID: 14604834"
"Plasmablasts","Plasmablasts","IGF1","IGF1R",0.011443586462885,0,"IGF1_IGF1R","IGF1 - IGF1R","IGF","Secreted Signaling","PMID: 14604834"
"CD14+Mono","CD14+Mono","CCL5","CCR1",0.0166517354363647,0,"CCL5_CCR1","CCL5 - CCR1","CCL","Secreted Signaling","KEGG: hsa04060"
"Cycling","CD14+Mono","CCL5","CCR1",0.0628106966220488,0,"CCL5_CCR1","CCL5 - CCR1","CCL","Secreted Signaling","KEGG: hsa04060"
"HPC","CD14+Mono","CCL5","CCR1",0.00782291469552953,0,"CCL5_CCR1","CCL5 - CCR1","CCL","Secreted Signaling","KEGG: hsa04060"
"MAIT","CD14+Mono","CCL5","CCR1",0.101311868021651,0,"CCL5_CCR1","CCL5 - CCR1","CCL","Secreted Signaling","KEGG: hsa04060"
"NK","CD14+Mono","CCL5","CCR1",0.102307111017413,0,"CCL5_CCR1","CCL5 - CCR1","CCL","Secreted Signaling","KEGG: hsa04060"
"Plasma_B","CD14+Mono","CCL5","CCR1",0.0139892909629954,0,"CCL5_CCR1","CCL5 - CCR1","CCL","Secreted Signaling","KEGG: hsa04060"
"Plasmablasts","CD14+Mono","CCL5","CCR1",0.00672761485379548,0,"CCL5_CCR1","CCL5 - CCR1","CCL","Secreted Signaling","KEGG: hsa04060"
"Platelets","CD14+Mono","CCL5","CCR1",0.156813606073737,0,"CCL5_CCR1","CCL5 - CCR1","CCL","Secreted Signaling","KEGG: hsa04060"
"cDC2","CD14+Mono","CCL5","CCR1",0.017685215786593,0,"CCL5_CCR1","CCL5 - CCR1","CCL","Secreted Signaling","KEGG: hsa04060"
"cmCD8+T","CD14+Mono","CCL5","CCR1",0.0906438388673273,0,"CCL5_CCR1","CCL5 - CCR1","CCL","Secreted Signaling","KEGG: hsa04060"
"ctlCD4+T","CD14+Mono","CCL5","CCR1",0.100669927270988,0,"CCL5_CCR1","CCL5 - CCR1","CCL","Secreted Signaling","KEGG: hsa04060"
"ctlCD8+T","CD14+Mono","CCL5","CCR1",0.102757569797562,0,"CCL5_CCR1","CCL5 - CCR1","CCL","Secreted Signaling","KEGG: hsa04060"
"emCD8+T","CD14+Mono","CCL5","CCR1",0.0783278517403176,0,"CCL5_CCR1","CCL5 - CCR1","CCL","Secreted Signaling","KEGG: hsa04060"
"emraCD8+T","CD14+Mono","CCL5","CCR1",0.102757572194693,0,"CCL5_CCR1","CCL5 - CCR1","CCL","Secreted Signaling","KEGG: hsa04060"
"gdT","CD14+Mono","CCL5","CCR1",0.103673949032316,0,"CCL5_CCR1","CCL5 - CCR1","CCL","Secreted Signaling","KEGG: hsa04060"
"hCD4+T","CD14+Mono","CCL5","CCR1",0.0227911122636938,0,"CCL5_CCR1","CCL5 - CCR1","CCL","Secreted Signaling","KEGG: hsa04060"
"pDC","CD14+Mono","CCL5","CCR1",0.0182718653179489,0,"CCL5_CCR1","CCL5 - CCR1","CCL","Secreted Signaling","KEGG: hsa04060"
"MAIT","CD14+Mono","CCL3L3","CCR1",0.0231338094180235,0,"CCL3L3_CCR1","CCL3L3 - CCR1","CCL","Secreted Signaling","KEGG: hsa04060"
"Plasmablasts","CD14+Mono","CCL3L3","CCR1",0.00653889137354132,0,"CCL3L3_CCR1","CCL3L3 - CCR1","CCL","Secreted Signaling","KEGG: hsa04060"
"emraCD8+T","CD14+Mono","CCL3L3","CCR1",0.0184018530969169,0,"CCL3L3_CCR1","CCL3L3 - CCR1","CCL","Secreted Signaling","KEGG: hsa04060"
"Platelets","Cycling","PF4V1","CXCR3",0.0244671335131656,0,"PF4V1_CXCR3","PF4V1 - CXCR3","CXCL","Secreted Signaling","KEGG: hsa04060"
"Platelets","Plasmablasts","PF4V1","CXCR3",0.0716683987796505,0,"PF4V1_CXCR3","PF4V1 - CXCR3","CXCL","Secreted Signaling","KEGG: hsa04060"
"Platelets","pDC","PF4V1","CXCR3",0.0582943976433865,0,"PF4V1_CXCR3","PF4V1 - CXCR3","CXCL","Secreted Signaling","KEGG: hsa04060"
"Platelets","Cycling","PF4","CXCR3",0.0773163176888744,0,"PF4_CXCR3","PF4 - CXCR3","CXCL","Secreted Signaling","KEGG: hsa04060"
"Platelets","Plasmablasts","PF4","CXCR3",0.205043147542016,0,"PF4_CXCR3","PF4 - CXCR3","CXCL","Secreted Signaling","KEGG: hsa04060"
"Platelets","pDC","PF4","CXCR3",0.171374792295835,0,"PF4_CXCR3","PF4 - CXCR3","CXCL","Secreted Signaling","KEGG: hsa04060"
"Cycling","CD14+Mono","MIF","CD74_CXCR4",0.1185053011787,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155"
"MAIT","CD14+Mono","MIF","CD74_CXCR4",0.0471248266218406,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155"
"NK","CD14+Mono","MIF","CD74_CXCR4",0.043131008058325,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155"
"Plasma_B","CD14+Mono","MIF","CD74_CXCR4",0.127947586796889,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155"
"Plasmablasts","CD14+Mono","MIF","CD74_CXCR4",0.123077211685454,0.03,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155"
"Treg","CD14+Mono","MIF","CD74_CXCR4",0.0483438075187048,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155"
"cDC2","CD14+Mono","MIF","CD74_CXCR4",0.0935723204904025,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155"
"ctlCD4+T","CD14+Mono","MIF","CD74_CXCR4",0.046445478769789,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155"
"ctlCD8+T","CD14+Mono","MIF","CD74_CXCR4",0.0454544984493555,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155"
"emraCD8+T","CD14+Mono","MIF","CD74_CXCR4",0.0431526609568964,0.04,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155"
"gdT","CD14+Mono","MIF","CD74_CXCR4",0.0456918088979469,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155"
"hCD4+T","CD14+Mono","MIF","CD74_CXCR4",0.046694829309174,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155"
"mB_cells","CD14+Mono","MIF","CD74_CXCR4",0.0442815574163594,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155"
"nB_cells","CD14+Mono","MIF","CD74_CXCR4",0.0436450165957049,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155"
"nCD4+T","CD14+Mono","MIF","CD74_CXCR4",0.0483873127128492,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155"
"nCD8+T","CD14+Mono","MIF","CD74_CXCR4",0.0460967697891265,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155"
"pDC","CD14+Mono","MIF","CD74_CXCR4",0.0941902866722331,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155"
"Cycling","Cycling","MIF","CD74_CXCR4",0.0841815778005456,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155"
"Plasma_B","Cycling","MIF","CD74_CXCR4",0.0911718741347033,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155"
"cDC2","Cycling","MIF","CD74_CXCR4",0.0659300285289031,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155"
"pDC","Cycling","MIF","CD74_CXCR4",0.0663788093615505,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155"
"CD14+Mono","MAIT","MIF","CD74_CXCR4",0.0577784820976744,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155"
"CD16+Mono","MAIT","MIF","CD74_CXCR4",0.0567921856955207,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155"
"Cycling","MAIT","MIF","CD74_CXCR4",0.175661808143217,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155"
"HPC","MAIT","MIF","CD74_CXCR4",0.135442273845219,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155"
"MAIT","MAIT","MIF","CD74_CXCR4",0.0726927754655713,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155"
"NK","MAIT","MIF","CD74_CXCR4",0.0666837204980334,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155"
"Plasma_B","MAIT","MIF","CD74_CXCR4",0.188683411758395,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155"
"Plasmablasts","MAIT","MIF","CD74_CXCR4",0.181983567542106,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155"
"Treg","MAIT","MIF","CD74_CXCR4",0.0745214006127406,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155"
"cDC2","MAIT","MIF","CD74_CXCR4",0.140621737234483,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155"
"cmCD8+T","MAIT","MIF","CD74_CXCR4",0.0619007940116614,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155"
"ctlCD4+T","MAIT","MIF","CD74_CXCR4",0.0716725660030233,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155"
"ctlCD8+T","MAIT","MIF","CD74_CXCR4",0.0701829462889692,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155"
"emraCD8+T","MAIT","MIF","CD74_CXCR4",0.0667163730589876,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155"
"gdT","MAIT","MIF","CD74_CXCR4",0.070539819315049,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155"
"hCD4+T","MAIT","MIF","CD74_CXCR4",0.0720471194488252,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155"
"mB_cells","MAIT","MIF","CD74_CXCR4",0.0684176313392632,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155"
"nB_cells","MAIT","MIF","CD74_CXCR4",0.0674586274010143,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155"
"nCD4+T","MAIT","MIF","CD74_CXCR4",0.0745866170124764,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155"
"nCD8+T","MAIT","MIF","CD74_CXCR4",0.0711485861742717,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155"
"pDC","MAIT","MIF","CD74_CXCR4",0.141501918506672,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155"
"Cycling","Plasmablasts","MIF","CD74_CXCR4",0.0821815962394506,0.01,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155"
"Plasma_B","Plasmablasts","MIF","CD74_CXCR4",0.089021960774958,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155"
"Cycling","Treg","MIF","CD74_CXCR4",0.0708920012519707,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155"
"Plasma_B","Treg","MIF","CD74_CXCR4",0.0768713821238257,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155"
"cDC2","Treg","MIF","CD74_CXCR4",0.0553476533614736,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155"
"pDC","Treg","MIF","CD74_CXCR4",0.0557286984243711,0.01,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155"
"Cycling","cDC2","MIF","CD74_CXCR4",0.107957251626146,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155"
"Plasma_B","cDC2","MIF","CD74_CXCR4",0.116670325707957,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155"
"cDC2","cDC2","MIF","CD74_CXCR4",0.0850294617402637,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155"
"nCD4+T","cDC2","MIF","CD74_CXCR4",0.0437704989342315,0.01,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155"
"pDC","cDC2","MIF","CD74_CXCR4",0.0855963372863382,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155"
"CD14+Mono","cmCD8+T","MIF","CD74_CXCR4",0.0500383321939542,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155"
"CD16+Mono","cmCD8+T","MIF","CD74_CXCR4",0.0491772664471894,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155"
"Cycling","cmCD8+T","MIF","CD74_CXCR4",0.15472292063488,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155"
"HPC","cmCD8+T","MIF","CD74_CXCR4",0.118607758347537,0.01,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155"
"MAIT","cmCD8+T","MIF","CD74_CXCR4",0.0630884469352438,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155"
"NK","cmCD8+T","MIF","CD74_CXCR4",0.0578238146367831,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155"
"Plasma_B","cmCD8+T","MIF","CD74_CXCR4",0.166505868811907,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155"
"Plasmablasts","cmCD8+T","MIF","CD74_CXCR4",0.160437787590858,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155"
"Treg","cmCD8+T","MIF","CD74_CXCR4",0.064692325158577,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155"
"cDC2","cmCD8+T","MIF","CD74_CXCR4",0.123235215041762,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155"
"cmCD8+T","cmCD8+T","MIF","CD74_CXCR4",0.0536398471660884,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155"
"ctlCD4+T","cmCD8+T","MIF","CD74_CXCR4",0.0621939893324889,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155"
"ctlCD8+T","cmCD8+T","MIF","CD74_CXCR4",0.0608884482331561,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155"
"emraCD8+T","cmCD8+T","MIF","CD74_CXCR4",0.0578523977457762,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155"
"gdT","cmCD8+T","MIF","CD74_CXCR4",0.0612011704846248,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155"
"hCD4+T","cmCD8+T","MIF","CD74_CXCR4",0.0625223448053373,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155"
"mB_cells","cmCD8+T","MIF","CD74_CXCR4",0.0593419978050965,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155"
